OverallRating,Comment,FeedbackCategory,Subcategory
Disappointed,I have not been able to intentionally get to a place to input the code from my flyer,TRUE,Digital Flyer
Very Disappointed,still can not find where the editable flier is to send home,TRUE,Digital Flyer
Neutral,Letter to parents downloaded blank.,TRUE,Parent Letter
Neutral,Hard to find information. Video tutorials would be nice.,TRUE,Userability/Performance/Navigation
Very Satisfied,"On the mobile app, I was trying to add the ""READS"" free book, but the ""confirm and apply"" button was below the screen and I couldn't scroll far enough to be able to click it. On the computer it worked fine.",TRUE,Mobile Compatibility
Satisfied,Took me awhile.  Not super user friendly.,TRUE,Userability/Performance/Navigation
Neutral,Not finding info,TRUE,Userability/Performance/Navigation
Neutral,Need larger pictures to show children the available books.,TRUE,Userability/Performance/Navigation
Satisfied,"Easy to add items to wish list and cart. Sometimes navigation is difficult (e.g., once get to checkout, it would be nice to have a back button ('back to shopping'), rather than using the browser back button or having to go back 'home' and navigate back to where I was before entering checkout).",TRUE,Userability/Performance/Navigation
Neutral,"I had trouble finding where to submit my child’s teacher & when I found it, my entire cart was deleted so I had to start over. It would be better if the scholastic site worked seamlessly with the school classroom pages.",TRUE,Shopping Cart/Checkout
Disappointed,It will not add to my cart at all and I can't order.    I have a credit that I can't use.,TRUE,Shopping Cart/Checkout
Very Satisfied,"Site worked great! The search function under the site search was a little confusing since it only had the ""add to cart"" button there instead of going to the item to view the descrip. I get the idea of it, just wasn't prepared for it. This is so much easier than filling out those awful newsprint, tiny order forms lol",TRUE,Filter/Search Options
Satisfied,I feel like there should be an easier search function,TRUE,Filter/Search Options
Very Satisfied,Wish there was a way to edit a letter to attach to the student flyers.      Such as fonts and size.  I can't figure that out.,TRUE,Parent Letter
Neutral,Search function is not great,TRUE,Filter/Search Options
Neutral,Had trouble going back to the $1.00 page : D,TRUE,Userability/Performance/Navigation
Neutral,The site is not easy to navigate.  I feel like you have to click around a lot to find the best deals for teachers.,TRUE,Userability/Performance/Navigation
